q	Intensity	Error
0.14214	9.65E+10	0
0.14256	9.50E+10	0
0.14983	7.31E+10	0
0.15026	7.18E+10	0
0.15751	5.28E+10	0
0.15797	5.16E+10	0
0.16519	3.67E+10	0
0.16567	3.57E+10	0
0.17288	2.46E+10	0
0.17338	2.38E+10	0
0.18056	1.59E+10	0
0.18109	1.53E+10	0
0.18824	1.02E+10	0
0.18879	9.86E+09	0
0.19593	7.13E+09	0
0.1965	6.91E+09	0
0.20361	6.06E+09	0
0.2042	5.99E+09	0
0.21129	6.53E+09	0
0.21191	6.58E+09	0
0.21898	8.10E+09	0
0.21961	8.23E+09	0
0.22666	1.05E+10	0
0.22732	1.07E+10	0
0.23434	1.33E+10	0
0.23503	1.36E+10	0
0.24203	1.65E+10	0
0.24273	1.68E+10	0
0.24971	1.98E+10	0
0.25044	2.01E+10	0
0.25739	2.29E+10	0
0.25814	2.32E+10	0
0.26508	2.59E+10	0
0.26585	2.62E+10	0
0.27276	2.85E+10	0
0.27355	2.88E+10	0
0.28044	3.07E+10	0
0.28126	3.10E+10	0
0.28813	3.26E+10	0
0.28897	3.28E+10	0
0.29581	3.40E+10	0
0.29667	3.41E+10	0
0.3035	3.47E+10	0
0.30438	3.48E+10	0
0.31118	3.42E+10	0
0.31208	3.41E+10	0
0.31886	3.32E+10	0
0.31979	3.31E+10	0
0.32655	3.22E+10	0
0.3275	3.21E+10	0
0.33423	3.07E+10	0
0.3352	3.05E+10	0
0.34191	2.90E+10	0
0.34291	2.88E+10	0
0.3496	2.70E+10	0
0.35061	2.68E+10	0
0.35728	2.48E+10	0
0.35832	2.45E+10	0
0.36496	2.23E+10	0
0.36602	2.20E+10	0
0.37265	1.98E+10	0
0.37373	1.95E+10	0
0.38033	1.72E+10	0
0.38144	1.69E+10	0
0.38801	1.47E+10	0
0.38914	1.44E+10	0
0.3957	1.23E+10	0
0.39685	1.19E+10	0
0.40338	1.01E+10	0
0.40455	9.72E+09	0
0.41106	8.05E+09	0
0.41226	7.74E+09	0
0.41875	6.29E+09	0
0.41996	6.01E+09	0
0.42643	4.78E+09	0
0.42767	4.55E+09	0
0.43411	3.52E+09	0
0.43538	3.32E+09	0
0.4418	2.53E+09	0
0.44308	2.37E+09	0
0.44948	1.79E+09	0
0.45079	1.67E+09	0
0.45716	1.30E+09	0
0.45849	1.23E+09	0
0.46485	1.04E+09	0
0.4662	1.01E+09	0
0.47253	9.85E+08	0
0.47391	9.80E+08	0
0.48021	1.10E+09	0
0.48161	1.12E+09	0
0.4879	1.36E+09	0
0.48932	1.41E+09	0
0.49558	1.74E+09	0
0.49702	1.82E+09	0
0.50326	2.20E+09	0
0.50473	2.29E+09	0
0.51095	2.70E+09	0
0.51243	2.80E+09	0
0.51863	3.22E+09	0
0.52014	3.32E+09	0
0.52631	3.72E+09	0
0.52785	3.82E+09	0
0.534	4.20E+09	0
